Meat, Poultry, and Seafood
Word,XPercentage,YPercentage
whole (chicken),0.21044921875,0.16702326622171146
split,0.32177734375,0.09421825274045262
quarter,0.49365234375,0.12514848722595473
thigh,0.6455078125,0.17749196097065062
leg,0.75244140625,0.07661181157178218
breast,0.76708984375,0.21127729402404524
wing,0.87646484375,0.1294311350777935
turkey,0.22021484375,0.36307336788366334
chicken,0.51171875,0.38781755547206503
duck,0.77490234375,0.3502254243281471
fish,0.1181640625,0.6462039758663366
whole,0.33740234375,0.6390662294466053
filet,0.5986328125,0.5386619298090524
steak,0.82373046875,0.5058282962782885
lobster,0.21875,0.9221968374292786
shrimp,0.5439453125,0.9359964805074257
clam(s),0.49658203125,0.8422540775282885
oyster(s),0.6904296875,0.7513667731170438
mussel(s),0.677734375,0.8984043493635078
scallop(s),0.849609375,0.7123470926891796
crab(s),0.8662109375,0.9345689312234795
