Containers, Quantities, and Money
Word,XPercentage,YPercentage
box,0.197265625,0.0419921875
six-pack,0.6591796875,0.0400390625
pump,0.79931640625,0.08447265625
tube,0.90087890625,0.34326171875
pack,0.15673828125,0.3984375
book,0.48046875,0.314453125
bar,0.4990234375,0.53076171875
cup,0.80615234375,0.48828125
glass,0.12255859375,0.662109375
slice,0.3974609375,0.63525390625
piece,0.81298828125,0.6513671875
bowl,0.1953125,0.80615234375
spray can,0.43896484375,0.802734375
dollar bills,0.81494140625,0.7197265625
coins,0.908203125,0.8154296875
penny,0.62646484375,0.8271484375
nickel,0.76123046875,0.85400390625
dime,0.623046875,0.94482421875
quarter,0.82568359375,0.9345703125
