Firefighting and Rescue
Word,XPercentage,YPercentage
ladder,0.26632653061224487,0.11071428571428571
fire engine,0.2173469387755102,0.19693877551020408
fire truck,0.5668367346938775,0.15357142857142858
fire escape,0.6816326530612244,0.24693877551020407
fire,0.8270408163265306,0.3076530612244898
ambulance,0.08979591836734693,0.40816326530612246
paramedic,0.10510204081632653,0.4989795918367347
hose,0.11479591836734694,0.6770408163265306
fire hydrant,0.2392857142857143,0.6581632653061225
fire fighter,0.3408163265306122,0.5382653061224489
fire extinguisher,0.4010204081632653,0.6061224489795919
helmet,0.35918367346938773,0.44948979591836735
coat,0.4576530612244898,0.43673469387755104
axe,0.5392857142857143,0.44285714285714284
smoke,0.6275510204081632,0.41275510204081634
water,0.871938775510204,0.5443877551020408
nozzle,0.7479591836734694,0.7576530612244898
