The City
Word,XPercentage,YPercentage
office building,0.12142857142857143,0.45408163265306123
lobby,0.12653061224489795,0.5933673469387755
corner,0.3020408163265306,0.6418367346938776
crosswalk,0.46530612244897956,0.5357142857142857
department store,0.34591836734693876,0.14438775510204083
bakery,0.40714285714285714,0.29336734693877553
public telephone,0.4326530612244898,0.40153061224489794
street sign,0.6877551020408164,0.33622448979591835
post office,0.9,0.2755102040816326
traffic cop,0.7112244897959183,0.5423469387755102
intersection,0.6903061224489796,0.6826530612244898
pedestrian,0.8653061224489796,0.6994897959183674
bus stop,0.4336734693877551,0.8862244897959184
bench,0.611734693877551,0.9045918367346939
trash basket,0.6903061224489796,0.8142857142857143
subway station,0.7877551020408163,0.9122448979591836
