The Public Library
Word,XPercentage,YPercentage
library clerk,0.12908163265306122,0.1270408163265306
checkout desk,0.14591836734693878,0.23979591836734693
library card,0.225,0.11938775510204082
card catalog,0.363265306122449,0.1392857142857143
drawer,0.35816326530612247,0.2693877551020408
call card,0.13979591836734695,0.32755102040816325
call number,0.16173469387755102,0.35816326530612247
author,0.2760204081632653,0.33010204081632655
title,0.19540816326530613,0.41377551020408165
subject,0.3352040816326531,0.44948979591836735
row,0.673469387755102,0.11938775510204082
call slip,0.6668367346938775,0.2173469387755102
microfilm,0.878061224489796,0.1913265306122449
microfilm reader,0.9193877551020408,0.19183673469387755
periodicals section,0.8260204081632653,0.413265306122449
magazine,0.9086734693877551,0.4061224489795918
rack,0.8913265306122449,0.6423469387755102
photocopy machine,0.27193877551020407,0.761734693877551
globe,0.17755102040816326,0.8163265306122449
atalas,0.3336734693877551,0.8928571428571429
reference section,0.5158163265306123,0.8964285714285715
information desk,0.5158163265306123,0.753061224489796
(reference) librarian,0.5224489795918368,0.6801020408163265
dictionary,0.7551020408163265,0.7346938775510204
encyclopedia,0.7229591836734693,0.8316326530612245
shelf,0.6076530612244898,0.8510204081632653
