Trucks
Word,XPercentage,YPercentage
street cleaner,0.06938775510204082,0.055612244897959184
tow truck,0.251530612244898,0.037244897959183676
fuel truck,0.5377551020408163,0.13622448979591836
pickup truck,0.7724489795918368,0.02857142857142857
snow plow,0.2316326530612245,0.3326530612244898
garbage truck,0.3198979591836735,0.25918367346938775
sanitation worker,0.49387755102040815,0.33418367346938777
lunch truck,0.6020408163265306,0.21122448979591837
panel truck,0.7994897959183673,0.18061224489795918
delivery person,0.8801020408163265,0.21989795918367347
moving van,0.6923469387755102,0.488265306122449
mover,0.8326530612244898,0.3943877551020408
cement truck,0.2163265306122449,0.5071428571428571
dump truck,0.5193877551020408,0.5209183673469387
tractor trailer,0.6770408163265306,0.7091836734693877
truck driver,0.8418367346938775,0.5979591836734693
transporter,0.49642857142857144,0.8188775510204082
flatbed,0.8285714285714286,0.8112244897959183
