Cars
Word,XPercentage,YPercentage
door lock,0.053061224489795916,0.29081632653061223
side mirror,0.1469387755102041,0.2571428571428571
armrest,0.09591836734693877,0.4443877551020408
door handle,0.2066326530612245,0.3862244897959184
visor,0.48622448979591837,0.11530612244897959
windshield wiper,0.5464285714285714,0.20510204081632652
rearview mirrow,0.7040816326530612,0.17346938775510204
steering wheel,0.4785714285714286,0.2566326530612245
gas gauge,0.4596938775510204,0.30357142857142855
speeddometer,0.5214285714285715,0.3040816326530612
turn signal lever,0.3964285714285714,0.35816326530612247
horn,0.4857142857142857,0.36887755102040815
column,0.5193877551020408,0.39948979591836736
ignition,0.5790816326530612,0.3923469387755102
emergency brake,0.43112244897959184,0.44081632653061226
bucket seat,0.5086734693877552,0.5454081632653062
gearshift,0.7255102040816327,0.4290816326530612
radio,0.6836734693877551,0.35153061224489796
dashboard,0.6872448979591836,0.2826530612244898
glove compartment,0.8688775510204082,0.3377551020408163
vent,0.9158163265306123,0.3974489795918367
mat,0.8219387755102041,0.45357142857142857
seat belt,0.8556122448979592,0.5586734693877551
stick shift,0.3346938775510204,0.6795918367346939
clutch,0.39183673469387753,0.735204081632653
brake,0.40255102040816326,0.7857142857142857
accelerator,0.42346938775510207,0.8403061224489796
license plate,0.5341836734693878,0.8561224489795919
brake light,0.6255102040816326,0.7806122448979592
backup light,0.6969387755102041,0.8051020408163265
taillight,0.6229591836734694,0.8239795918367347
backseat,0.6989795918367347,0.7239795918367347
child's seat,0.7688775510204081,0.6938775510204082
gas tank,0.763265306122449,0.763265306122449
headrest,0.8642857142857143,0.7020408163265306
hubcap,0.7979591836734694,0.813265306122449
tire,0.7642857142857142,0.8622448979591837
