The Universe
Word,XPercentage,YPercentage
galaxy,0.10459183673469388,0.11989795918367346
comet,0.49642857142857144,0.11785714285714285
(Big Dipper) constellation,0.3709183673469388,0.20153061224489796
star,0.4959183673469388,0.19540816326530613
meteor,0.42551020408163265,0.2627551020408163
lunar eclipse,0.5959183673469388,0.11530612244897959
Sun,0.6204081632653061,0.1704081632653061
Earth,0.6862244897959183,0.13010204081632654
Moon,0.7933673469387755,0.1586734693877551
solar eclipse,0.5938775510204082,0.24183673469387756
Mercury,0.7744897959183673,0.5454081632653062
Venus,0.7448979591836735,0.5459183673469388
Earth,0.7096938775510204,0.5428571428571428
Mars,0.6877551020408164,0.5193877551020408
Jupiter,0.6137755102040816,0.4801020408163265
Saturn,0.3852040816326531,0.5224489795918368
ring,0.26377551020408163,0.5862244897959183
Uranus,0.4045918367346939,0.38826530612244897
Neptune,0.23826530612244898,0.38724489795918365
Pluto,0.11632653061224489,0.36887755102040815
asteroid,0.6168367346938776,0.573469387755102
orbit,0.4403061224489796,0.6556122448979592
telescope,0.7229591836734693,0.688265306122449
first quarter,0.07857142857142857,0.8806122448979592
full moon,0.17959183673469387,0.8785714285714286
last quarter,0.27755102040816326,0.8775510204081632
new moon,0.373469387755102,0.878061224489796
