The Space Program
Word,XPercentage,YPercentage
space station,0.18418367346938774,0.07959183673469387
communication satellite,0.4061224489795918,0.21071428571428572
weather satellite,0.6586734693877551,0.05969387755102041
space probe,0.7979591836734694,0.07193877551020408
astronaut,0.2785714285714286,0.3556122448979592
space suit,0.2714285714285714,0.41275510204081634
lunar module,0.6846938775510204,0.4357142857142857
command module,0.8076530612244898,0.3607142857142857
cargo bay,0.45153061224489793,0.8484693877551021
flight deck,0.5744897959183674,0.8571428571428571
living quaters,0.5790816326530612,0.886734693877551
crew,0.6510204081632653,0.8198979591836735
rocket,0.8556122448979592,0.7214285714285714
space shuttle,0.8367346938775511,0.8204081632653061
launchpad,0.9061224489795918,0.9474489795918367
