School Verbs
Word,XPercentage,YPercentage
raise (one's hand),0.2872448979591837,0.03010204081632653
touch,0.49183673469387756,0.03163265306122449
erase,0.7040816326530612,0.0326530612244898
read,0.925,0.034183673469387756
close,0.22704081632653061,0.27653061224489794
listen,0.46224489795918366,0.27755102040816326
write,0.7153061224489796,0.2795918367346939
walk,0.9285714285714286,0.2801020408163265
tear,0.29489795918367345,0.5403061224489796
type,0.6091836734693877,0.5418367346938775
draw,0.9209183673469388,0.5438775510204081
tie,0.36581632653061225,0.7244897959183674
leave,0.7086734693877551,0.7285714285714285
enter,0.9193877551020408,0.7301020408163266
