Math
Word,XPercentage,YPercentage
straight line,0.33214285714285713,0.1683673469387755
perpendicular lines,0.11326530612244898,0.23112244897959183
curve,0.2260204081632653,0.3010204081632653
parallel lines,0.06428571428571428,0.3576530612244898
obtuse angle,0.5010204081632653,0.20051020408163264
triangle,0.5066326530612245,0.2566326530612245
base,0.5183673469387755,0.3086734693877551
acute angle,0.3821428571428571,0.2903061224489796
square,0.7193877551020408,0.2392857142857143
side,0.7204081632653061,0.16428571428571428
circle,0.8596938775510204,0.1673469387755102
diameter,0.7841836734693878,0.24897959183673468
center,0.8540816326530613,0.26632653061224487
radius,0.8862244897959184,0.23418367346938776
section,0.8576530612244898,0.21275510204081632
arc,0.9107142857142857,0.2602040816326531
circumference,0.4857142857142857,0.35153061224489796
oval,0.4846938775510204,0.4142857142857143
rectangle,0.6744897959183673,0.3183673469387755
diagonal,0.6770408163265306,0.41020408163265304
apex,0.8316326530612245,0.32193877551020406
right triangle,0.8362244897959183,0.4076530612244898
right angle,0.8408163265306122,0.4627551020408163
hypotenuse,0.8770408163265306,0.3948979591836735
pyramid,0.06938775510204082,0.5984693877551021
cylinder,0.18520408163265306,0.5301020408163265
cube,0.18724489795918367,0.7729591836734694
cone,0.21275510204081632,0.6948979591836735
whole,0.40561224489795916,0.5943877551020408
a half,0.6076530612244898,0.6051020408163266
a quater,0.3673469387755102,0.698469387755102
a third,0.5382653061224489,0.7153061224489796
depth,0.7806122448979592,0.5255102040816326
height,0.7239795918367347,0.6326530612244898
width,0.789795918367347,0.775
length,0.7627551020408163,0.8709183673469387
