Individual Sports
Word,XPercentage,YPercentage
tennis ball,0.03759765625,0.2646484375
racket,0.09619140625,0.33203125
gutter,0.2890625,0.32275390625
lane,0.35009765625,0.30810546875
pin,0.47216796875,0.224609375
bowling ball,0.43798828125,0.34228515625
golf ball,0.5888671875,0.36962890625
hole,0.658203125,0.3798828125
putter,0.60009765625,0.2958984375
golfer,0.64501953125,0.20849609375
glove,0.87109375,0.2509765625
handball,0.9599609375,0.326171875
court,0.91845703125,0.20703125
head protector,0.0634765625,0.41162109375
glove,0.1259765625,0.474609375
referee,0.2333984375,0.47607421875
ring,0.07958984375,0.60205078125
paddle,0.447265625,0.4951171875
ping-pong ball,0.50146484375,0.5546875
saddle,0.58642578125,0.43408203125
jockey,0.6416015625,0.43408203125
reins,0.7021484375,0.48388671875
gymnast,0.89208984375,0.44384765625
balance beam,0.87646484375,0.5859375
rink,0.083984375,0.740234375
skate,0.0654296875,0.798828125
blade,0.18896484375,0.8173828125
safety goggles,0.3330078125,0.6298828125
racquet,0.2783203125,0.7041015625
racquetball,0.41162109375,0.74462890625
runner,0.62890625,0.63818359375
track,0.59716796875,0.74365234375
skis,0.7880859375,0.78466796875
pole,0.79150390625,0.74267578125
skier,0.90283203125,0.650390625
