Fields and Courses
Word,XPercentage,YPercentage
service court,0.18408203125,0.3408203125
net,0.29150390625,0.29638671875
service line,0.36376953125,0.25341796875
baseline,0.2978515625,0.18017578125
clubs,0.609375,0.25048828125
rough,0.642578125,0.20361328125
golf bag,0.58447265625,0.3388671875
golf cart,0.62890625,0.3740234375
flag,0.81494140625,0.16455078125
green,0.837890625,0.2236328125
sand trap,0.82763671875,0.2548828125
fairway,0.78662109375,0.3115234375
tee,0.87353515625,0.38720703125
pole,0.0771484375,0.70654296875
ski boot,0.07470703125,0.84375
binding,0.208984375,0.8935546875
ski,0.2958984375,0.8828125
ski lift,0.3818359375,0.5361328125
stretch,0.7021484375,0.5712890625
starting gate,0.7373046875,0.7861328125
finish line,0.9169921875,0.77392578125
